Goliath				巨人
把某物扎成一捆一捆的:to bind sth into bundles
被捆住手脚塞住嘴:bound and gagged
加一个鸡蛋让混合料黏合在一起:bind the mixture with an egg
使某人保证不泄密:to bind sb to secrecy



bound | BrE baʊnd, AmE baʊnd | 形容词:一定的；有义务的；有封皮的
一定会做某事:to be bound to do sth;
按照风俗/传统必须参加典礼:to be bound by custom/tradition to take part in the ceremony
你不必再受自己许诺的约束:you no longer need to feel bound by the promise you made
British 我敢肯定:I'll be bound



bilateral | BrE bʌɪˈlat(ə)r(ə)l, AmE ˌbaɪˈlædərəl | 形容词:双边的；在两侧的
古代两国的瓷器贸易不但开创和提升了双边的经济联系，而且为西方世界更多地了解中国打开了一扇窗口。
The trade for porcelain not only promoted the bilateral economic contact, but also opened a window for the western world to know more about china.




ban | BrE ban, AmE bæn | 及物动词:明令禁止/名词:禁令
禁止某人做某事:to ban sb from doing sth
市中心禁止车辆通行: traffic is banned from the city centre
禁烟令:a smoking ban
颁布/解除对某事物的禁令:to impose/lift a ban on sth





parliament | BrE ˈpɑːləm(ə)nt, AmE ˈpɑrləmənt | 名词:议会/专有名词:英国议会
我们现已进入了本届议会的后半任期
We are now into the second half of the parliament.




previously | BrE ˈpriːvɪəsli, AmE ˈpriviəsli | 副词:以前；之前
两年/两天前:two years/days previously
在预定地点:at a previously arranged location





agreement | BrE əˈɡriːm(ə)nt, AmE əˈɡrimənt | 名词:意见一致；同意；协议
对于解决问题的方法，意见分歧不小:there is little agreement as to what should be done about the problem
她答应付汽油钱，真是帮了大忙:her agreement to pay for the petrol helped a great deal
起草/签订协议:to draw up/sign an agreement
裁军协议:an agreement on disarmament




overseas | AmE ˌoʊvərˈsiz | 副词:在国外/形容词：外国的，在国外的
来自海外:from overseas
得到一个去海外工作的职务:to get an overseas posting






territory | BrE ˈtɛrɪt(ə)ri, AmE ˈtɛrəˌtɔri | 名词:领土，地盘；准州，地方，区；地区；领域
是难免的事:to go with the territory
这块新领土将会使加拿大陆地面积扩展1/5以上。
The new territory would extend over one-fifth of Canada's land mass.





participation | BrE pɑːˌtɪsɪˈpeɪʃn, AmE pɑrˌtɪsəˈpeɪʃ(ə)n | 名词:参加
他们的参与受一些重要条款的限制。
Their participation is subject to a number of important provisos.
对某事的参与:participation in sth;




infrastructure | BrE ˈɪnfrəstrʌktʃə, AmE ˈɪnfrəˌstrək(t)ʃər | 名词:基础设施
经年内战已破坏了国家的基础设施，摧毁了其社会结构。
Years of civil war have wrecked the country's infrastructure and destroyed its social fabric.




project | BrE ˈprɒdʒɛkt, AmE ˈprɑˌdʒɛkt | 名词:项目，方案，任务；研究课题；住宅区/及物动词:投掷，发射，传送；放映，投射；展现；预测；/不及物动词:伸出；突出
项目经理/赞助者:a project manager/sponsor
我的下一个工作是做一只书橱:my next project is to make a bookcase
一项第三世界发展规划:a third world development project




founder | BrE ˈfaʊndə, AmE ˈfaʊndər | 名词:创建者/不及物动词:沉没；失败，破灭
渔船触礁沉没:the fishing vessel foundered on the rocks
在某事上失败:to founder on sth;
会谈在改革这一问题上失败了:the talks foundered on the issue of reform




unwise | BrE ʌnˈwʌɪz, AmE ˌənˈwaɪz | 形容词:愚蠢的，轻率的
（某人）做某事是不明智的:it is unwise (of sb) to do sth;






initiative | BrE ɪˈnɪʃətɪv, AmE ɪˈnɪʃ(i)ədɪv | 名词:主动性；主动行为；主动权；
自己想办法吧！:use your initiative!
主动地:on one's own initiative
采取主动:to take the initiative
和平倡议:peace initiative(s)




benefit | BrE ˈbɛnɪfɪt, AmE ˈbɛnəfɪt | 名词:益处，好处；募捐活动；救济金；额外待遇；/及物动词:有益于/不及物:获益
社会效益:social benefits
为了造福人类:for the benefit of humankind
借助后见之明/经验:with the benefit of hindsight/experience
利大于弊:the benefits outweigh the disadvantages





abandon | BrE əˈband(ə)n, AmE əˈbændən | 及物动词:抛弃，离弃；放弃，中止，戒除/反身:/名词:放纵
抛弃某人让其听天由命:to abandon sb to his/her fate
擅离职守:to abandon one's post
恣意享乐:to abandon oneself to a life of pleasure
陷入绝望:to abandon oneself to despair









figure out | BrE ˈfɪɡə, AmE ˈfɪɡjər | 名词:数字；算数；人物；人影；身材；插图；图案；人像；
例句:努力找出你的愤怒之下潜藏的情感。
Try to figure out what feeling underlies your anger.




havoc | BrE ˈhavək, AmE ˈhævək | 名词:大破坏；大混乱
对…造成严重破坏 ‹building, landscape›：to wreak havoc on sth
垃圾食品使我消化不良：junk food plays havoc with my digestion




admission | BrE ədˈmɪʃ(ə)n, AmE ədˈmɪʃən | 名词:准许进入；入场费；承认；复数形式:录取/住院/观众人数
入境/加入组织:admission to a country/an organization
获准入内:to gain admission (to)
免费入场:admission free
认罪/认错等:an admission of guilt/error etc.


apply | BrE əˈplʌɪ, AmE əˈplaɪ | 不及物动词:申请；适用/及物动词:应用；涂/反身:致力于某事物 
向学院/大学申请:to apply to college/university;
那个理论不适用于这种情况:that theory cannot apply in this case
踩刹车:to apply the brake
将理论付诸实践:to apply the theory to the practice



submission | BrE səbˈmɪʃ(ə)n, AmE səbˈmɪʃən | 名词:屈服，恭顺，投降；制服；提交；意见；看法
把某人打得/吓唬得/饿得屈服:to beat/frighten/starve sb into submission
提交提案的最后日期是什么时候？:when is the final date for the submission of proposals?
我们的报告最迟明天必须提交:our submissions have to be in by tomorrow
提出…的意见:to make a submission that …
依我之见:in my submission



govern | BrE ˈɡʌv(ə)n, AmE ˈɡəvərn | 及物动词:治理，统治；支配；决定；抑制；支配；调节/不及物动词:执政
被某人/某组织统治:to be governed by sb/sth;
指导食品生产的法律:laws that govern the manufacture of foodstuffs
他的所作所为皆取决于一己私利:self-interest governs all his actions
克制情绪:to govern one's feelings



phase | BrE feɪz, AmE feɪz | 名词: 阶段；相/及物动词:分阶段进行
经历困难时期:to go through a difficult phase
叛逆期:the rebellious phase
协调/不协调 :(harmony) to be in phase/out of phase;
他们逐步取得了该公司的股份:they phased their acquisition of the company's shares



lawsuit | BrE ˈlɔːsuːt, AmE ˈlɔˌsut | 名词:诉讼
对某人提起诉讼: to bring a lawsuit against sb;






speed-up | AmE ˈspid ˌəp | 名词:增速
生产的加速/工作效率的提高:a speed-up in production/the work rate






preliminary | BrE prɪˈlɪmɪn(ə)ri, AmE prəˈlɪməˌnɛri | 形容词:初步的；预赛的/名词:初步活动/复数:预赛；客套
先于…的:preliminary to …
开场白:preliminary remarks
预赛:preliminary contests




injunction | BrE ɪnˈdʒʌŋ(k)ʃ(ə)n, AmE ɪnˈdʒəŋ(k)ʃ(ə)n | 名词:禁制令；警告，命令
请求强制令:to seek an injunction
做某事的命令:an injunction to do sth





opponent | BrE əˈpəʊnənt, AmE əˈpoʊnənt | 名词:对手，反对者
那位摔跤手给对手来了个头部擒拿。
The wrestler put his opponent into a head hold.






argue | BrE ˈɑːɡjuː, AmE ˈɑrɡju | 不及物动词:争论；辩论；提供证明/及物动词:主张；表明；说服；辩论
为某事争辩:to argue over or about sth;
据理反对/力争某事: to argue against/for sth;
说服某人做/不做某事:to argue sb into/out of doing sth;
它说明了我们的事业是正义的:it argued the rightness of our cause



bias | BrE ˈbʌɪəs, AmE ˈbaɪəs | 复数:倾向；偏见；歧视；斜纹；偏差/及物动词:使有偏见
左翼倾向:a left-wing bias
政治/媒体偏见:political/media bias
种族/性别歧视:racial/sexual bias
使某人对…产生偏见/使某人偏向…:to bias sb against/in favour of …



correlate | BrE ˈkɒrələt, AmE ˈkɔrəˌleɪt | 不及物动词:相关联/及物动词:显示...的关联
与某事物相关:to correlate with sth;
显示某物与某事物相关:to correlate sth with sth;
显示某物和某事物的相关性:to correlate sth and sth;




income | BrE ˈɪnkʌm, AmE ˈɪnˌkəm | 名词:收入
（赚钱的）收入来源:a (profitable) source of income
量入为出:to live within one's income
入不敷出:to live beyond one's income
年薪2万英镑:to be on an income of £20,000 per year




race | BrE reɪs, AmE reɪs | 名词:速度竞赛；匆忙；竞争；急流/复数:赛马会/及物动词:同...竞速；使...参加竞速/不及物:参加速度竞赛；/名词:种族；民族
5公里/200米速度竞赛:a five-kilometre/200-metre race
总统/市长竞选:the presidential/mayoral race
征服太空/登月的竞争:the race to conquer space/reach the moon
白种人/蒙古人种:the Caucasian/Mongolian race


gender | BrE ˈdʒɛndə, AmE ˈdʒɛndər | 名词:性别；性
男性和女性:male and female genders
阴性:feminine gender





annual | BrE ˈanjʊəl, AmE ˈænj(u)əl | 形容词:一年一次的；年度的；持续一年的/名词:年刊；一年生植物
年租金:annual rent
年收入:annual income
年度预算:annual budget



expect | BrE ɪkˈspɛkt,ɛkˈspɛkt, AmE ɪkˈspɛkt | 及物动词:预计；指望；等待；要求；猜想；怀着/不及物动词:预计；要求；猜想；怀孕
预料某人会做某事:to expect sb to do sth;
相当正常:to be expected;
指望得到某人的同情/帮助:to expect sympathy/help from sb;
这要求太过分:it's too much to expect



score | BrE skɔː, AmE skɔr | 名词:得分；分数；约二十个；总谱，配乐；根据；夙愿；实情；欠账；刻痕/及物动词:赢得，取得；给...打分；在...上刻痕，划开；改编；把...弄到手/不及物动词:得分；记分；成功，胜出
最终比分是二比一: the final score was two-one
记分:to keep the score
高分/低分: a good/poor score
击中得一分/留下好印象/大获成功:to score a hit


section | BrE ˈsɛkʃ(ə)n, AmE ˈsɛkʃ(ə)n | 名词:部分，节；阶层，部门，乐器组；小分队；路段；截图；切面；地段；平方英里US/及物动词:把...分成部分；切开
第1节第3段:section 1, paragraph 3
火车的前部/后部:the front/rear section of the train
公司的财务部:the finance section of the company
商业区/住宅区:the business/residential section


experience | BrE ɪkˈspɪərɪəns,ɛkˈspɪərɪəns, AmE ˌɪkˈspɪriəns | 名词:经验；经历/及物动词:经历；体验，体会
有某事物/做某事的经验:to have experience of sth/doing sth;
了解某人/某事物:to have experience with sb/sth;
获得经验:to acquire or gain experience
亲身经历某事:to experience sth at first hand or personally




policy | BrE ˈpɒlɪsi, AmE ˈpɑləsi | 名词:政策；原则
外交/经济/社会政策:foreign/economic/social policy
执行政策:to carry out or implement a policy
我们公司规定不准吸烟:our company has a no-smoking policy
这是原则问题:it's a matter of policy



counsellor | British, counselor US | BrE ˈkaʊns(ə)lə, AmE ˈkaʊns(ə)lər | 名词:咨询顾问，心理咨询师；辅导员；律师
每个辅导员在上岗前都要接受密集培训。
Each counsellor undergoes an intensive training programme before beginning work.








aspect | BrE ˈaspɛkt, AmE ˈæspɛkt | 名词:部分；方面；朝向；景色；外表；
从这一角度看:seen from this aspect
研究某事物的各个方面:to examine every aspect of sth
面朝西的房子:a house with a westerly aspect
宜人的景色:a pleasant aspect



application | BrE aplɪˈkeɪʃ(ə)n, AmE ˌæpləˈkeɪʃ(ə)n | 名词:申请；实施，应用，用途；敷用；勤奋；应用程序
提出求职申请:to make a job application
股票的申购:application for shares
填写求职/护照申请表:to fill out a job/passport application
或许凭常识就能解决这个问题:the application of common sense might resolve the problem


curriculum | BrE kəˈrɪkjʊləm, AmE kəˈrɪkjələm | 名词:课程
列入课程:to be on the curriculum;
课外的:extra-curricular






activity | BrE akˈtɪvɪti, AmE ækˈtɪvədi | 名词:活跃；活动
忙忙碌碌:to hum with activity
镇中心非常热闹:the town centre was a scene of great activity
重新开始/中断活动:to resume/break off one's activities




disadvantaged | BrE dɪsədˈvɑːntɪdʒd, AmE ˌdɪsədˈvæn(t)ɪdʒd | 形容词:贫穷的
下层社会:the disadvantaged
居住在市中心贫民区的孩子在教育方面可能处于不利的地位。
Children living in inner-city areas may be educationally disadvantaged.





lottery | BrE ˈlɒt(ə)ri, AmE ˈlɑdəri | 名词:抽彩，碰运气的事
彩票抽奖为数百万人提供正当娱乐。
The lottery provides harmless fun for millions.





minimum | BrE ˈmɪnɪməm, AmE ˈmɪnəməm | 名词:最低限度；最少量/形容词:最低的；最少的
把某物保持在最低限度:to keep sth to a or the minimum
最低值: the bare or absolute minimum
以最小值:at the minimum





qualification | BrE ˌkwɒlɪfɪˈkeɪʃ(ə)n, AmE ˌkwɑləfəˈkeɪʃ(ə)n | 名词:资格；素质，能力；限定；先决条件
取得/拥有某方面的资格:to gain/have a qualification in sth
毫无保留地接受某事物:to accept sth without qualification




tinker | BrE ˈtɪŋkə, AmE ˈtɪŋkər | 名词:白铁匠；尝试修理/不及物动词:对...修修补补，对...修修改改；摆弄；捣鼓
我根本不在乎: I don't give a tinker's cuss or damn
这毫无价值:it's not worth a tinker's cuss or damn
试图修理某物:to have a tinker with sth
我一直在琢磨参加海军的事:I've been tinkering with the idea of joining the navy



advocate |BrE ˈadvəkeɪt, AmE ˈædvəˌkeɪt | 及物动词:支持/名词:拥护者；辩护人
主张废除法律:to advocate abolishing the law





equitable | BrE ˈɛkwɪtəb(ə)l, AmE ˈɛkwədəb(ə)l | 形容词:公正的
他已经催促他们达成合理的妥协，给予休斯他所应得的报酬。
He has urged them to come to an equitable compromise that gives Hughes his proper due






national | BrE ˈnaʃ(ə)n(ə)l, AmE ˈnæʃ(ə)n(ə)l | 形容词:国家的；全国性的；国有的/名词:国民
国旗:national flag
国家大事: national affairs
全国罢工: a national strike
外国人:foreign nationals




association | BrE əsəʊʃɪˈeɪʃ(ə)n,əsəʊsɪˈeɪʃ(ə)n, AmE əˌsoʊsiˈeɪʃ(ə)n,əˌsoʊʃiˈeɪʃ(ə)n | 名词:协会；联合；友谊，恋爱关系；关联；联想
成立/加入一个协会:to form/join an association
…之间的密切合作:a close association between …
他同那位女士的交往:his association with the lady
和某事有关联:to have associations with sth





counsel | BrE ˈkaʊns(ə)l, AmE ˈkaʊnsəl | 名词:劝告；律师/及物动词:向...提供专业咨询；建议，劝告
听从某人的劝告:to follow sb's counsel
共同磋商:to take counsel together
辩护/公诉律师: counsel for the defence/prosecution
就某事物向某人提供咨询:to counsel sb about or on sth










severe | BrE sɪˈvɪə, AmE səˈvɪr | 形容词:严重的，剧烈的，沉重的；严厉的，苛刻的；简朴的；巨大的；严酷的；严肃的
她面临严峻的资金问题:She was confronted with severe money problems
严寒/严冬:severe cold/winter
严肃对待某人:to be severe to or towards or with sb;




fall | BrE fɔːl, AmE fɔl | 不及物动词:落下；倒下；下落，消退，垂落；下垂；发生；向下倾斜；阵亡；失守；被打败，下台；瓦解，垮掉；降临，下降；被说出；落在；下降；进入；处于；堕落/名词:落下；摔倒；下落距离；双肩着地，体落；下垂；失守；失势，垮台，灭亡；下降；降低；堕落；秋天/复数形式:瀑布
花瓶掉下来摔得粉碎:the vase fell and broke into a thousand pieces
人越高大，摔得越重:the bigger you are, the harder you fall
许多工党的席位落入了保守党的手中:a number of Labour seats have fallen to the Conservatives
滚落的岩石堵住了路:a fall of rocks had blocked the road




charity | BrE ˈtʃarɪti, AmE ˈtʃɛrədi | 名词:慈善机构；施舍物；慈善；宽容；慈爱
靠赈济过活:to live on or off charity
接受/拒绝施舍:to accept/refuse charity
出于仁慈之心做某事:to do sth out of charity
捐赠给慈善事业/为慈善事业募捐:to give to/collect money for charity



overall | BrE ˈəʊvərɔːl, AmE ˈoʊvəˌrɔl | 形容词:总体的，综合的；/副词:总体上/名词:罩衣/复数形式:工作服，工装裤
全长/全宽:the overall length/width
情况有了全面的改善:there has been an overall improvement
Sport 综合排名第一:to come first overall





trend | BrE trɛnd, AmE trɛnd | 名词:趋势，倾向；时新款式/不及物动词:趋向
上升/下降的趋势:an upward/downward trend
做某事的趋势:a trend towards doing sth;
流行款式:a fashion trend
房价呈迅速下行趋势:house prices are trending rapidly downwards




illumination | BrE ɪˌl(j)uːmɪˈneɪʃ(ə)n, AmE ɪˌluməˈneɪʃ(ə)n | 名词:照明；启示；彩饰/复数形式:彩灯
直射光照明既刺目又呆板。:Direct illumination is harsh and unflattering.





consequence | BrE ˈkɒnsɪkw(ə)ns, AmE ˈkɑnsɪkwəns | 名词:结果；重要性
作为…的结果:as a consequence of …
因此:in consequence
遭受/承受/面对后果:to suffer/take/face the consequences
较重要的事:a matter of some consequence



disorientate | BrE dɪsˈɔːrɪɛnteɪt, AmE dɪsˈɔriənˌteɪt | 及物动词:使迷失方向，使失去时间感；使迷惘
退伍军人开始平民生活可能会感到茫然:Ex-soldiers can be disorientated by the transition to civilian life.




migrate | BrE mʌɪˈɡreɪt,ˈmʌɪɡreɪt, AmE ˈmaɪˌɡreɪt | 不及物动词: 移居；迁徙，洄游；转移/及物动词:将...转移到另一计算机系统
移居到一个国家/城市:to migrate to a country/city;
人们为找工作而迁移到雅加达这类城市里。
People migrate to cities like Jakarta in search of work



distress | BrE dɪˈstrɛs, AmE dəˈstrɛs | 名词:痛苦，疼痛；贫困；危难；不适/及物动词:使苦恼；使痛苦；把...做旧
感到痛苦:to be in distress;
给某人带来痛苦:to cause distress to sb;
遇险的船:a ship in distress
犯愁:to distress oneself;





succumb | BrE səˈkʌm, AmE səˈkəm | 不及物动词:屈服；被压垮
屈从于劝说/欲望:to succumb to persuasion/desire;
死于某种疾病:to succumb to a disease;
他受了伤，最终没能挺过去:he eventually succumbed to his injuries





skyscraper | BrE ˈskʌɪskreɪpə, AmE ˈskaɪˌskreɪpər | 名词:摩天大楼
这幢摩天大楼全部是用水泥和玻璃构筑的。
This skyscraper was constructed entirely of concrete and glass.





deracinate | [ˌdiːˈræsɪneɪt]








vivid | BrE ˈvɪvɪd, AmE ˈvɪvɪd | 形容词:鲜艳的，耀眼的；清晰的，生动的
他继续用一种直白而又诙谐生动的笔触描绘着约克郡的生活。
He has continued to write with a bluff, vivid humour about Yorkshire life.






relationship | BrE rɪˈleɪʃ(ə)nʃɪp, AmE rəˈleɪʃ(ə)nˌʃɪp | 名词:联系；亲属关系；人际关系；情爱关系；逻辑关系
父子关系:a father-son relationship
业务/工作关系:a business/working relationship
与某人有亲密关系:to have a relationship with sb;




ancient | BrE ˈeɪnʃ(ə)nt, AmE ˈeɪn(t)ʃənt | 形容词:古代的，古老的；年老的，陈旧的/the ancients:古人
在古代:in ancient times
觉得自己老了:to feel ancient
古色古香的:ancient-looking




astronomy | BrE əˈstrɒnəmi, AmE əˈstrɑnəmi | 名词:天文学
总的说来，航空企业很好地促进了天文学的发展
Speaking generally, the space enterprise has served astronomy well.







inextricably | BrE ɪnɪkˈstrɪkəbli,ɪnˈɛkstrɪkəbli, AmE ˌɪnəkˈstrɪkəbli,ɪnˈɛkstrəkəbli | 副词:解不开的，分不开的
儿童在自身和与人交往两方面的成长是相辅相成的。
The personal and social development of the child are inextricably linked.





cosmology | BrE kɒzˈmɒlədʒi, AmE kɑzˈmɑlədʒi | 名词:宇宙学
然后他去了剑桥大学学习宇宙学。
Then he went to Cambridge University to study cosmology.





divination | BrE ˌdɪvɪˈneɪʃ(ə)n, AmE ˌdɪvəˈneɪʃ(ə)n | 名词:占卜
占卜术:the art of divination





establishment | BrE ɪˈstablɪʃm(ə)nt,ɛˈstablɪʃm(ə)nt, AmE əˈstæblɪʃmənt | 名词:创立，制定；机构；企业；编织，成员；权势集团；权威人士
在编:to be on/form part of the establishment;
权势集团:(powerful group) the Establishment
统治阶级的中流砥柱:a pillar of the Establishment
文学/艺术/医学/法律界权威:the literary/art/medical/legal establishment




calendar | BrE ˈkalɪndə, AmE ˈkæləndər | 名词:历法；日程；日程表
你本周有什么安排？:what's on your calendar this week?
他划去日历上的日期。:He marked off the days on a calendar






navigation | BrE navɪˈɡeɪʃ(ə)n, AmE ˌnævəˈɡeɪʃ(ə)n | 名词:导航；驾驶；航行
这条运河的来往船只有所增多:there has been an increase in navigation along this canal






Pacific | BrE pəˈsɪfɪk, AmE pəˈsɪfɪk | 专有名词:太平洋/形容词:平静的
息事宁人的意图/平和的提议/温和的政策
pacific intentions/overtures/policies





wealth | BrE wɛlθ, AmE wɛlθ | 名词:钱财，财产；资源；财富；大量
积聚财富:to amass wealth
摆阔:to flaunt one's wealth
波斯湾的石油资源:he oil wealth of the Gulf
许多方式:a wealth of ways to do sth




rape | BrE reɪp, AmE reɪp | 及物动词:强奸；蹂躏/名词:强奸；蹂躏/名词:油菜
资本家糟蹋了我们的土地和资源:the capitalists have raped our land and resources
犯强奸罪:to commit rape
许多人指责农场主糟蹋了我们的乡村:many people have accused farmers of the rape of our countryside





constellation | BrE ˌkɒnstəˈleɪʃ(ə)n, AmE ˌkɑnstəˈleɪʃ(ə)n | 名词:星座；一群，一系列
一群名人
a constellation of famous names





awe | BrE ɔː, AmE ɔ | 名词:敬畏；使敬畏
敬畏地看/听:to watch/listen in awe
对某人/某事物感到敬畏:to stand or be in awe of sb/sth
敬畏某事物:to be awed by sth





instinctively | BrE ɪnˈstɪŋktɪvli, AmE ɪnzˈtɪŋ(k)tɪvli,ɪnˈstɪŋ(k)tɪvli | 副词:本能的，凭直觉的
我发现当我们的目光相遇时，我本能地还以微笑。
I found myself smiling back instinctively when our eyes met.




presence | BrE ˈprɛz(ə)ns, AmE ˈprɛzəns | 名词:在场；风度，仪态；感觉中的存在物；势力
当着某人的面:in the presence of sb, in sb's presence;
敬请光临…:your presence is requested at …
仪表堂堂的男子/仪态不凡的女子: man/woman of tremendous presence
驻军:a military presence




magnificent | BrE maɡˈnɪfɪs(ə)nt, AmE mæɡˈnɪfəsənt | 形容词:壮丽的，壮观的，盛大的，宏伟的，华丽的；极好的
穿着婚纱看上去非常华丽:to look magnificent in a wedding dress
英雄壮举:a magnificent act of heroism
这本书非常出色:this book is quite magnificent





mere | BrE mɪə, AmE mɪr | 形容词:仅仅的；最少的；只有的
不过是区区小事/无名小卒:a mere nothing/nobody
只是个孩子/只不过一介平民:a mere child/commoner
一想到/提起/看见/闻到…:the mere idea/mention/sight/smell of …
剧院离这儿只有一英里:the theatre is a mere mile from here




humdrum | BrE ˈhʌmdrʌm, AmE ˈhəmˌdrəm | 形容词:乏味的，单调的；名词:乏味，单调
想象使人从单调无聊的生活中解脱出来。
Imagination raises a man above the humdrum of life.





desperately | BrE ˈdɛsp(ə)rətli, AmE ˈdɛsp(ə)rətli | 副词:绝望的，拼命的；及其
疯狂地爱着:desperately in love
极度失望的:desperately disappointed
人们拼命地找地方躲避炮火。:People were desperately seeking shelter from the gunfire.








fine | BrE fʌɪn, AmE faɪn | 1名词:罚款/及物动词:处...以罚金2形容词:极好的；很好的；[用作反语]；精美的；优雅的；高尚的；晴朗的；细微的；纤细的；副词:很好的；细小的
对该公司处以5,000英镑的罚金:to impose a fine of £5,000 on the company
因超速被罚款:to be fined for speeding
她前程似锦:she has a fine future ahead of her
没有你说话的份！:you're a fine one to talk!




landmark | BrE ˈlan(d)mɑːk, AmE ˈlæn(d)ˌmɑrk | 名词:地标；里程碑
某方面的里程碑:a landmark in sth;
重大发现/决定/改革:a landmark discovery/decision/reform





impose | BrE ɪmˈpəʊz, AmE ɪmˈpoʊz | 及物动词:强制执行，收取；将...强加于人/不及物动词:利用/to impose oneself:接受自己
判处某人5年徒刑:to impose a sentence of five years on sb
征税:to impose a tax
勉强某人接受自己的想法:to impose one's opinions on sb;
利用某人的仁慈/好客:to impose on sb's kindness/hospitality




titan | BrE ˈtʌɪt(ə)n | 名词:巨人
政界巨头:a titan of the political world







monopolistic | BrE mənɒp(ə)ˈlɪstɪk, AmE məˌnɑpəˈlɪstɪk | 形容词:垄断的，垄断性的
帝国主义是垄断的、寄生的、垂死的资本主义。
Imperialism is monopolistic, parasitic and moribund capitalism.





tough | BrE tʌf, AmE təf | 形容词:坚固的；咬不动的；强壮的，刚强的；强硬的，无情的；严厉的，坚决的；艰难的；犯罪猖獗的；不幸的；/感叹词:多倒霉啊
非常坚强:as tough as old boots
他是个狠角色！:he's a tough character!
说话口气/举止强硬:to talk/act tough
要解决的难题:a tough problem to solve




campaign | BrE kamˈpeɪn, AmE kæmˈpeɪn | 名词:战役；运动/不及物动词:作战；发起运动
发起一场战役:to mount or launch a campaign
发起一场支持/反对某事物的运动:to launch or mount or wage a campaign for/against sth;
造谣中伤:a smear campaign
交战10年后:after ten years of campaigning





regulate | BrE ˈrɛɡjʊleɪt, AmE ˈrɛɡjəˌleɪt | 及物动词:控制；调节；调整
红绿灯控制交通流量:traffic lights regulate the flow of traffic
政府管制的:government-regulated
这个阀门可以控制返回锅炉的水流:this valve regulates the flow of water back to the boiler
调节生活方式以适应某事物:to regulate one's lifestyle to fit in with sth





giant | BrE ˈdʒʌɪənt, AmE ˈdʒaɪənt | 名词:巨人；大公司；卓越人物/形容词:巨大的；特大的
美国汽车业巨头: American car giants
…中的巨擘:a giant among …;
超低价促销！:giant sale!
公司的巨大进步:a giant stride for the company



closely | BrE ˈkləʊsli, AmE ˈkloʊsli | 副词:紧紧的，仔细的；紧接着；接近的；仔细的，严密的；均衡的；贴近的
一份写得密密麻麻的手稿:a closely written manuscript
这两起事件联系密切:he two events are closely connected
严守的秘密:a closely guarded secret
势均力敌:to be closely contested or fought





investigate | BrE ɪnˈvɛstɪɡeɪt, AmE ɪnˈvɛstəˌɡeɪt | 及物动词:调查；审查；调研/不及物动词:进行调查
他们正在受调查:they are being investigated
值得调查一下是否...:it's worth investigating whether...





potential | BrE pə(ʊ)ˈtɛnʃ(ə)l, AmE pəˈtɛn(t)ʃəl | 形容词:潜在的，可能的；名词:潜力，可能性，势
做…的潜力:the potential to do …
发挥潜能: to fulfil one's potential
开发潜能/实现可能性: to develop/realize one's potential





violation | BrE vʌɪəˈleɪʃn, AmE ˌvaɪəˈleɪʃ(ə)n | 名词:违犯；亵渎；侵扰；强奸；违规行为
违犯…:in violation of …
违章停车/交通违规:parking/traffic violations




prevent | BrE prɪˈvɛnt, AmE prəˈvɛnt | 及物动词:阻止
阻止某人/某物做某事: to prevent sb/sth from doing sth
阻止火势蔓延:to prevent the fire from spreading






merchant | BrE ˈməːtʃ(ə)nt, AmE ˈmərtʃənt | 名词:商人了；好飙车的人，骗子，军火商/形容词:商人的；贸易的；货运的
商船/商船队:a merchant vessel/fleet
海上商运:merchant shipping





regulator | BrE ˈrɛɡjʊleɪtə, AmE ˈrɛɡjəˌleɪdər | 名词:监管者，监察机构；调节阀
一个自动电压调节器保证了发电机电流输出的稳定。
An automatic voltage regulator ensured a constant output from the generator.






investigation | BrE ɪnˌvɛstɪˈɡeɪʃ(ə)n, AmE ɪnˌvɛstəˈɡeɪʃ(ə)n | 名词:侦查；调查研究
这一罪行还在侦查中:the crime is still under investigation
他在接受审查:he is under investigation
研究中的事:the matter under investigation
正在进行调查研究:an investigation is under way




conclude | BrE kənˈkluːd, AmE kənˈklud | 及物动词:结束，完成；推断；决定；达成/不及物动词:结束
“最后，”他最后说，“谢谢大家”:‘finally,’he concluded, ‘my thanks to you all’
Law 判定某人无罪:to conclude that sb is innocent
决定…:to conclude that …;
缔结条约/结成联盟:to conclude a treaty/an alliance
她最后说她要离开公司:she concluded by saying that she was leaving the firm




hinder | BrE ˈhɪndə, AmE ˈhɪndər | 及物动词:妨碍，阻挡
